0.15381,0.96179,0.87625,0.48863,0.40708,0.12658,0.92543,0.0055811,0.18639,0.32406,0.44556
0.050187,0.14454,0.72937,0.48228,0.33806,0.23677,0.45086,0.18545,0.32425,0.26397,0.32057
0.83008,0.69636,0.33354,0.58023,0.28784,0.26397,0.2599,0.67708,0.51983,0.076754,0.45256
0.055845,0.25873,0.43993,0.28429,0.67877,0.94958,0.77396,0.63614,0.75358,0.74682,0.55776
0.58603,0.77306,0.39249,0.60529,0.24743,0.2902,0.019333,0.34731,0.1418,0.41153,0.38145
0.15307,0.82901,0.7392,0.09887,0.82063,0.22711,0.10694,0.66278,0.95458,0.81456,0.54067
0.62325,0.32827,0.27737,0.43438,0.3503,0.87776,0.0061545,0.69645,0.33806,0.30498,0.4237
0.6481,0.92115,0.89307,0.99718,0.072884,0.12962,0.98157,0.090242,0.68616,0.92896,0.63489
0.14182,0.88442,0.019762,0.34269,0.23831,0.98456,0.8466,0.79451,0.90028,0.7801,0.5933
0.83651,0.32109,0.74275,0.66449,0.28918,0.33737,0.90864,0.032251,0.69636,0.20877,0.50374
0.82415,0.21823,0.099642,0.61951,0.10381,0.79906,0.90293,0.31251,0.28159,0.0067819,0.41682
0.49587,0.98848,0.73794,0.31072,0.60041,0.78168,0.11153,0.57933,0.87037,0.68978,0.61661
0.24297,0.34272,0.54544,0.067573,0.41045,0.23751,0.48897,0.80607,0.37785,0.51798,0.40375
0.094598,0.9091,0.20763,0.38206,0.66028,0.75837,0.17307,0.51738,0.99534,0.70761,0.54054
0.080567,0.043308,0.49116,0.4466,0.4868,0.16589,0.36066,0.88072,0.74435,0.41677,0.41168
0.90735,0.094307,0.18133,0.94659,0.10085,0.38804,0.28922,0.073087,0.19461,0.41749,0.35929
0.29293,0.70214,0.23971,0.95948,0.30546,0.15492,0.55551,0.79054,0.44387,0.99582,0.54404
0.43659,0.30444,0.24651,0.96083,0.22288,0.39561,0.22452,0.27002,0.41844,0.99774,0.44776
0.91103,0.55043,0.59634,0.079145,0.57664,0.89817,0.46331,0.3984,0.10446,0.65224,0.52302
0.9917,0.67807,0.42848,0.6548,0.58875,0.74505,0.64087,0.50368,0.93804,0.60534,0.67748
0.63892,0.70266,0.86095,0.37966,0.71212,0.52352,0.36349,0.43468,0.6876,0.22685,0.55305
0.979,0.97567,0.28951,0.33843,0.99644,0.78897,0.79492,0.63237,0.81145,0.44809,0.70549
0.83061,0.12666,0.51327,0.71593,0.24815,0.5319,0.38221,0.80176,0.67086,0.98286,0.58042
0.93682,0.57627,0.080186,0.41382,0.18085,0.99563,0.52039,0.88528,0.64825,0.46625,0.57038
0.095281,0.96782,0.62011,0.156,0.39837,0.8825,0.53901,0.54368,0.44245,0.18375,0.4829
0.24923,0.28511,0.52951,0.55984,0.41515,0.90568,0.30514,0.64977,0.28878,0.25525,0.44435
0.35818,0.80592,0.53893,0.59006,0.23114,0.10195,0.64464,0.98014,0.10172,0.18787,0.45406
0.0093854,0.8383,0.48134,0.46853,0.90855,0.41715,0.54414,0.69901,0.07905,0.50942,0.49549
0.4869,0.85588,0.6144,0.11742,0.60687,0.16418,0.39903,0.53236,0.87521,0.65904,0.53113
